neighborhood,zip,building_class,address,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E,02,7,E702,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E702""",MIDDLE,studio,1,1960,"435,000.00",10/27/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E,03,1,E103,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E103""",MIDDLE,1,1,1960,"645,000.00",10/28/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E,04,11,E1104,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E1104""",MIDDLE,4,3,1960,"2,400,000.00",10/29/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K,02,18,K1802,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K1802""",RIGHT,1,1,1960,"850,000.00",11/1/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B,08,7,B708,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B708""",MIDDLE,1,1,1960,"815,000.00",11/2/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A,07,10,A1007,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A1007""",LEFT,2,1,1960,"1,050,000.00",5/11/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,04,4,L404,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L404""",MIDDLE,1,1,1960,"675,000.00",11/18/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,06,11,L1106,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1106""",MIDDLE,3,2,1960,"1,630,000.00",11/19/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B,07,15,B1507,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B1507""",MIDDLE,1,1,1960,"805,000.00",12/8/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D,02,14,D1402,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D1402""",RIGHT,1,1,1960,"749,000.00",12/13/2021
